korok_id,korok_found,korok_location,korok_num,korok_type,korok_coord_start,korok_coord_end,korok_desc,
205,1,Faron,16,Rock Stand,"-0224, -3341, 0071",,"In between Cora Lake and Finra Woods, there will be a stand where you must place a nearby large rock found at the gap to reveal a Korok.",
206,1,Faron,17,Yellow Flower,"-0419, -3374, 0032",,"North of Cora Lake, there will be a flower for you to chase at the top of a rock formation, up the hill.",
207,0,Faron,18,Lift the Rock,"-0799, -3256, 0089",,"North of the Finra Woods and just right outside of them, go up the hill to find another branch you must fit the large rock beside it, on the branch.",
208,0,Faron,19,Lift the Rock,"-0243, -3917, 0004",,"Just south of the shores of Lake Hylia, pick up the rock to reveal a Korok.",
209,1,Faron,20,Rock Stand,"-0105, -3437, -0001",,Pick up the rock that is nearby and place it on the stand.,
210,1,Faron,21,Lift the Rock,"0205, -3311, 0060",,"From the top of the mountains, west of Cora Lake, paraglide your way down to a small mountainous platform where a rock is sitting on. Pick it up to reveal a Korok.",
211,0,Faron,22,Lift the Rock,"0383, -3609, 0071",,"Go up the mountain, east of the Parache Plains to pick a up a rock and reveal a Korok.",
212,0,Faron,23,Sparkle Cloud,"0518, -3483, 0048",,"No offerings this time! There will be a row of statues, similar to those you need to offer, south of the Parache Plains. There will be a whirlwind of leaves floating around them.",
213,0,Faron,24,Sparkle Cloud,"0788, -3340, 0081",,"Southeast of the Oseira Plains, there will be a Korok seed hanging on a tree. Shoot it to reveal a Korok.",
214,0,Faron,25,Lift the Rock,"0953, -3476, 0021",,"Near the shores of Laverra Beach, there will be signs pointing you to stand on a rock platform. Stand on it to reveal a whirlwind of leaves. Examine it and a Korok will appear.",
215,0,Faron,26,Sparkle Cloud,"0814, -3718, 0107",,"Under the bridge that connects Pappetto Grove and Harfin Valley, dive into the circle of flowers to reveal a Korok.",
216,0,Faron,27,Lift the Rock,"0592, -3727, 0059",,"Northwest of Harfin Valley, in a small forest, there will be a tree trunk with a hollow. Inside such hollow, there will be a rock you must pick up to reveal a Korok.",
217,0,Faron,28,Lift the Rock,"0526, -3667, 0062",,"In between Nette Plateau and Lake of the Horse, there will be a yet another branch that you must place a large rock on top.",
218,0,Faron,29+30,Reunite Friends,"0100, -3839, 0031",,"In the Highland Stables, there will be a Korok waiting to be reunited with his friend. He will be located just around the perimeter, at the back of the stables.",
219,0,Faron,31,Sparkle Cloud,"0271, -3906, -0001",,"North of the Guchini Plain, there will be a tree branch on top of a large pillar. Approach it so that three balloons appear and you have to shoot them down.",
220,0,Faron,32,Sparkle Cloud,"0574, -3851, 0030",,"Just west of the shore of Herin Lake, in Guchini Plain Barrows, there will be a tree trunk with a whirlwind of leaves floating inside of it.",
221,0,Faron,33,Sparkle Cloud,"1097, -3832, 0002",,"At the end of the bridge that connects to Ibara Butte, there will be a flower standing around for you to chase.",
222,0,Faron,34,Sparkle Cloud,"1373, -3506, 0169",,"At the middle of Horse God Bridge, dive into the circle of flowers floating on the water.",
223,0,Faron,35,Lift the Rock,"1450, -3531, 0117",,"South of the Horse God Bridge, there will be a tree branch that you must fill in with the nearby large rock. Be careful, as a Stone Talus will be sleeping around the area.",
224,1,Faron,36,Pop the Cork,"1641, -3674, 0173",,"Near the shores of Puffer Beach, there will be a tall platform on which a Korok cork stands. Use the nearby rocks to attach the cork and give it weight enough for the Korok to uncover.",
225,1,Faron,37,Shoot the Acorn,"1609, -3802, 0091",,"At Puffer Beach, there will be a small pool where a Korok seed is floating. Shoot it to reveal a Korok.",
226,0,Faron,38,Sparkle Cloud,"1737, -3465, 0060",,"Near the perimeter of the mountains near Komo Shoreline, there will be a Korok Puzzle to solve in order for a Korok to appear.",
227,0,Faron,39,Lift the Rock,"1792, -3579, 0027",,"At the beach of Martha's Landing, there will be small rock platforms where a whirlwind of leaves will be waiting for you to examine.",
228,1,Faron,40,Dandelion,"1539, -3243, 0094",,"Near Utsushok shrine, there will be a dandelion on top of a large stone pillar. Slash the dandelion and grab the seed before it hits the ground.",
229,0,Faron,41,Lift the Rock,"1332, -3278, 0088",,"Just west of the last Korok, you will find a whirlwind of leaves floating around a rock pillar in a small pool.",
230,0,Faron,42,Lift the Rock,"1580, -3032, 0222",,"South of Ubota Point, there be a circle of flowers floating on the water. Near it, there will be a rock formation you can climb up to dive down to the flowers.",
231,0,Faron,43,Lift the Rock,"1778, 2937, 0243",,"South of Ubota Point, even further than the last Korok, there will be another whirlwind of leaves wandering around a set of rocks that lay alone on a large plain.",
232,1,Faron,44,Lift the Rock,"1933, -2774, 0386",,"Below Floria Bridge, there will be a large tree with a rock on top of it.",
233,1,Faron,45,Sparkle Cloud,"1799, -3179, 0082",,"South of Lake Floria, near the waterfall, there will be a series of arrows pointing to a stone you must step in order for the whirlwind of leaves to appear.",
234,0,Faron,46,Sparkle Cloud,"1690, -3323, 0059",,"In Bronas Forest, there will be a flower under a large fallen tree trunk. Follow it to reveal a Korok.",
235,1,Faron,47,Block Puzzle,"-2089, 0479, 0103",,"East of the Bronas Forest, there will be a small Korok puzzle, where you must place the fallen cube at the missing angle of the square at the floor.",
236,0,Faron,48,Sparkle Cloud,"-1289, 0896, 0099",,"In between Corta Lake and Kamah Plateau, there will be a dandelion on a stone pillar.",
237,0,Faron,49,Lift the Rock,"-1162, 0665, 0061",,"In Riola Spring, there will be a stone platform with a large rock in it. Move the large rock first, and then move the small rock to reveal a Korok. Be careful, there will be an octorok nearby. Take it our first, to move the rocks safely.",
238,0,Faron,50,Sparkle Cloud,"-2686, 1665, 0258",,"At the top of Mount Hylia, there will be a branch you must stand nearby to have the balloons appear.",
239,0,Faron,51,Sparkle Cloud,"-2817, 1597, -0019",,"South of the waterfall of Rodai Lake, there is a circle of flowers you must dive into.",
240,1,Faron,52,Block Puzzle,"-3140, 1554, 0123",,"A the middle of the terrain beween Floria Falls and Bronas Forest, there will be a pillar with a missing block. Attach the block as seen on the picture above.",
241,1,Faron,53+34,Reunite Friends,"-3283, 1340, 0188",,Between Lakeside Stable and Floria Bridge there's a Korok looking for his friend.,
242,0,,,,"-3441, 1312, 0120",,,
243,0,Hyrule Ridge,1,*,"-3597, 1535, 0142",,"Find a Korok with a backpack on the ground in the southeastern section of Ludfo's Bog. His buddy is up on a mushroom stalk a bit north, sending a smoke signal in the air. A bit northwest of the Korok you will find some Zonai supplies and devices. Using the Ultrahand ability, craft a makeshift hot air balloon by securing the Flame Emitter to the platform and the balloon to the Flame Emitter. Lastly, attach your Korok buddy to the platform and hit the Flame Emitter to fly up into the air. Use Ultrahand to carry the Korok and drop them onto the mushroom stalk and then Paraglide down from the flying platform to join the two Korok buddies.",
244,1,Hyrule Ridge,2,Lift the Rock,"-3845, 1326, 0270",,Pick up the rock sitting inside the hand of the geogylph north of North Hyrule Plain. This geoglyph can be found a bit south of the Royal Ancient Lab Ruins.,
245,0,Hyrule Ridge,3,Block Puzzle,"-3102, 1316, 0217",,Outside the North Hyrule Plain Cave there is a three-pronged wooden stake. Move the boulder from the crevice east of the three-pronged wooden stake and place it inside the stake using Ultrahand.,
246,0,Hyrule Ridge,4,Sparkle Cloud,"-3147, 1106, 0156",,"Atop a small abandoned house along the road to the Lucky Gazette (where you encounter Yammo and Jogo), you can spot a glittering spot of leaves by the chimney. Examine the spot near the chimney on this house to reveal a Korok.",
247,0,Hyrule Ridge,5,Block Puzzle,"-3557, 0769, 0187",,"On the valley floor of the Tanagar Canyon, underneath one of the giant windmill structures, is two Korok cube sculptures. Use Ultrahand to remove the piece hanging from the lower sculpture, and orient it into an L-shape shown in the screenshot above before placing in against the middle rung of the statue, so that it perfectly matches the second sculpture above.",
248,0,Hyrule Ridge,6,Lift the Rock,"-3540, 0756, 0186",,"On a cliff overlooking the northend of Strock Lake you can find a tree stump with a cork lodged in it. Another cork is chained to it. Using Ultrahand, attach all the nearby small rocks to the other cork and then drop it off the side of the cliff. The cork in the tree stump with pop out to reveal a Korok.",
249,0,Hyrule Ridge,7,Lift the Rock,"-3715, 1039, 0248",,Atop the pillar of stone in the middle of Strock Lake there is a small rock. Pick up the small rock to reveal a Korok.,
250,0,Hyrule Ridge,8,Lift the Rock,"-3981, 0930, 0111",,"On a cliff along the eastern side of Strock Lake, there is a Korok cube sculpture. A missing piece sits to one side. Use Ultrahand to pick up the missing piece and orient it in the direction shown in the screenshot above before placing it onto the sculpture so that it is perfectly symmetrical.",
251,0,Hyrule Ridge,9,Sparkle Cloud,"-3819, 0831, 0124",,"On the south shore of Lake Totori, there is a ring of ruins along the road right across from one of the Hudson Construction signs. A yellow Korok flower sits atop a pillar on the west side of these ruins. Walk on top of the Korok flower and a new one will appear on another pillar. Follow the yellow flowers as they appear around the ruins until a white flower appears on the east side of the ruins. Walk over the white flower to reveal a Korok.",
252,0,Hyrule Ridge,10,Sparkle Cloud,"-4057, 0773, 0102",,"Atop Cuho Mountain you can find a Korok stump. Step onto the stump and an orb of light will shoot off to the north, turning in a glowing landing pad with a target on it. Use your Paraglider to drift down to the landing pad to reveal a Korok.",
253,0,Hyrule Ridge,11,Sparkle Cloud,"-3976, 0729, 0124",,A small Korok acorn hangs from a chain underneath the north side of the Kolami Bridge. Shoot the acorn to reveal a Korok.,
254,0,Hyrule Ridge,12,Lift the Rock,"-3444, 0661, 0250",,"On a cliff along the west edge of Tanagar Canyon, just a bit south of the Kolami Bridge, you can find a small rock. Pick up the small rock to reveal a Korok.",
255,0,Hyrule Ridge,13,*,"-3434, 0708, 0215",,"On the very top of Nero Hill, atop the cube-shaped Zonai cage, you can find a backpack Korok. Their friend is sending up a smoke signal over on Piper Ridge to the southeast. Use Ultrahand to craft a flying device using the Zonai devices scattered around the top of the Zonai structure. Attach the Korok to the flying device before taking off towards Piper Ridge. Land near Piper Ridge and use Ultrahand to carry the Korok the rest of the way to their friend.",
256,0,Hyrule Ridge,14,Sparkle Cloud,"-0577, 2604, 0385",,"In the shallow pond on Piper Ridge, you can spot a glittering trail of leaves circling around the fallen Zonai stone in its center. Approach the glittering spot and examine it to reveal a Korok.",
257,0,Hyrule Ridge,15,Sparkle Cloud,"-0334, 1746, 0193",,"On the northwest side of Nero Hill, overlooking the two craters to the east, you can find a small overhang in the hillside with a Korok tree stump clinging to the underside. Use Ascend to travel through the Korok stump to the top of the hill to reveal a Korok.",
258,0,Hyrule Ridge,16,Sparkle Cloud,"0776, 2954, 0281",,"South of the Gisa Crater is a small grove of four trees. A sign with a red painted arrows sits at the base of three of the trees, pointing collectively towards the northwest tree. Climb up the northwest tree in this grove and examine the glittering spot in the center of its branches to reveal a Korok.",
259,0,Hyrule Ridge,17,Block Puzzle,"1026, 3672, 0110",,North of Rayne Highlands you can find a three-pronged stake and nearby a boulder wedged into a small crater. Use Ultrahand to pick up the boulder in the crater and place it into the center of the three-pronged stake.,
260,0,Hyrule Ridge,18,Sparkle Cloud,"0169, 3036, 0176",,"West of Rayne Highlands, near the edge of the world, you can find four small stone statues with offering bowls in front of them. Two of the four statues have a Spicy Pepper sitting in their offering bowl. Place a Spicy Pepper in the two center offering bowls to reveal a Korok.",
261,0,Hyrule Ridge,19,Sparkle Cloud,"-0488, 3056, 0175",,"Atop a very tall manmade stone pillar in the Rayne Highlands, located at coordinates -3966, 0624, 0189, you will find a Korok tree stump. Step on the stump and an orb of yellow light will shoot off, turning into a landing pad on top of a fallen pillar at coordinates -3976, 0729, 0124. Use your Paraglider to drift down to the landing pad without letting your feet touching the ground before landing there.",
262,0,Hyrule Ridge,20,Sparkle Cloud,"0126, 3150, 0181",,At the highest point of Piper Ridge there is a chunk of Zonai stone with a Korok dandelion tuft atop it. Cut the dandelion tuft with a sharp weapon such as a sword. The tuft will fly into the air. Catch the dandelion seed before it touches the ground.,
263,0,Hyrule Ridge,21,Sparkle Cloud,"0058, 3111, 0189",,"Along the east edge of Piper Ridge, you can find a tiny cave with two small stone statues and a Korok tree stump clinging to the ceiling. Use Ascend to phase through the tree stump to the top of the cliffside and reveal a Korok.",
264,0,,,,"-0325, 3158, 0099",,,
265,0,Great Hyrule Forest,1,Lift the Rock,"0523, 3397, 0184",,"Atop Mount Drena, west of the Korok forest, release the cork using a rocket or a rock nearby.",
266,0,Great Hyrule Forest,2,Sparkle Cloud,"0859, 3354, 0209",,"In the ring of trees in Elma Knolls, build a platform to reach the area where you can attain this Korok.",
267,0,Great Hyrule Forest,3,Sparkle Cloud,"0665, 1374, 0042",,Found in the center of the sword geoglyph by lifting a stone. Use the Thyphlo Ruins Skyview Tower to get there.,
268,0,Great Hyrule Forest,4+5,Reunite Friends,"-0041, 1678, 0142",,"Found in the high northern part of the map, return the Korok to their friend in the West. Use the zonai devices nearby to make it go faster.",
269,0,Great Hyrule Forest,6,Sparkle Cloud,**,,Found underneath a stone on a small island to the southwest of Thyphlo Ruins.,
270,0,Great Hyrule Forest,7+8,Reunite Friends,"0412, 1178, 0010",,"Found on the East side of Thyphlo Ruins, deliver this Korok to their friend across the sludge by building a bridge of logs. You'll need about 10 logs to make a bridge long enough to cross.",
271,0,Great Hyrule Forest,9,Lift the Rock,"-0668, 1969, 0133",,"On a high rock at the Western entrance to Thyphlo Ruins, lift the stone.",
272,0,Great Hyrule Forest,10,Sparkle Cloud,"-0544, 2225, 0268",,"At the western entrance to Thyphlo Ruins, climb atop a pillar and onto the stump. Jump and glide to land on the next stump.",
273,0,Great Hyrule Forest,11+12,Reunite Friends,"0271, 3114, 0179",,"In the Drenan Highlands, you can find a Korok that needs to be delivered to their friend up a hill to the East. There doesn't seem to be any devices nearby you can use, so consider bring a horse or having autobuild ready to build a vehicle.",
274,0,Great Hyrule Forest,13+14,Reunite Friends,"-0478, 3136, 0121",,"Northeast of Thyphlo Ruins, you can find a Korok that needs to be taken downhill to their friend. Use a cart found nearby.",
275,0,Great Hyrule Forest,15,Sparkle Cloud,"-1435, 1478, 0193",,"West of Eldin you can find a sleeping Hinox right next to a tree where atop, a stone can be lifted to reveal a Korok.",
276,0,Great Hyrule Forest,16,Sparkle Cloud,**,,"At the northernmost point of the pond southwest of the Military Training camp, you can find an acorn that needs to be shot down.",
277,0,Great Hyrule Forest,17,Sparkle Cloud,"1409, 3778, 0128",,"South of Korok Forest, you can find a ruin overlooking a ring of lilies to dive into to reveal the Korok.",
278,0,Great Hyrule Forest,18,,"1425, 1534, 0363",,"Across the moat to the West of Hyrule Castle, you can find a tree overlooking the water with an acorn inside. Shoot it down.",
279,0,Great Hyrule Forest,19,Sparkle Cloud,"3029, 2289, 0337",,"Underneath Helmhead Bridge (found east of Hyrule Castle), you can find an acorn hiding under the northern side.",
280,0,Great Hyrule Forest,20,Sparkle Cloud,"1531, 1613, 0306",,"Between Aldor Foothills and Elma Knolls to the west of Korok Forest, you'll find a lot of frog statues in sets of three. Find the set with bowls in front of them and place a banana in each.",
281,0,Great Hyrule Forest,21+22,Sparkle Cloud,"1448, 1750, 0308",,"Atop the hill of Aldor Foothills, down south from the tip of Mount Drena, you can find a Korok that needs delivering far to the west. Luckily it's downhill, so grab a nearby cart and send them dow.",
282,0,Great Hyrule Forest,23,Sparkle Cloud,"1543, 1808, 0283",,"Complete the block puzzle at Thyphlo Ruins, just to the west of the Skyview Tower.",
283,0,Great Hyrule Forest,24,Lift the Rock,"1670, 1979, 0342",,"In the Drenan Highlands to the North, you can find a ring of stones that needs to be completed atop an outcropping. Find the missing stone just over the peak of the rock.",
284,0,Great Hyrule Forest,25+26,Reunite Friends,"1767, 1539, 0309",,"Atop Salari Hill, near Lindor's Brow Skyview Tower, you can find a Korok that needs to be delivered East into the Great Hyrule Forest Area. Use the debris and Zonai devices nearby to make a vehicle that will make the trek much easier.",
285,0,Great Hyrule Forest,27+28,Reunite Friends,"1699, 1753, 0343",,"High up to the west of Darunia Lake, near the cherry blossom tree, you can find a Korok that needs to be delivered to their friend to the west.",
286,0,Great Hyrule Forest,29,Sparkle Cloud,"1941, 1205, 0140",,"Northwest of Death Mountain, you can find this Korok as glitter at the tail of the Eldin Great Skeleton. Ascend through the larger base of the skeleton and run along the spine until you get the tip fo the tail.",
287,0,,,,"2371, 1401, 0129",,,
288,0,Eldin Canyon,1,Lift the Rock,"2639, 1109, 0158",,Up on a tall hill. Will be hidden until you climb the rock that all the red arrow signs are pointing at.,
289,0,Eldin Canyon,2,Sparkle Cloud,"2436, 1243, 0119",,Use the plank found in the building to fix the roof of the awning next to it. Fits together like a puzzle piece.,
290,0,Eldin Canyon,3+4,Reunite Friends,"2719, 1157, 0178",,Bring the Korok to their friend.,
291,0,Eldin Canyon,5,*,"2677, 1073, 0156",,Place the boulder onto the tree. It can be found in the pond downhill from the tree.,
292,0,Eldin Canyon,6+7,Reunite Friends,"2431, 1708, 0149",,There are some rockets nearby to help send this Korok up the wall to bring them to the nearby friend.,
293,0,Eldin Canyon,8,Lift the Rock,"2673, 1351, 0128",,An overhanging rock has a small rock you can lift at the tip.,
294,0,Eldin Canyon,9,Lift the Rock,"2703, 1742, 0119",,Found atop the rock.,
295,0,Eldin Canyon,10,Block Puzzle,"2264, 1835, 0332",,Use ultrahand on the boulder downhill to lift it into the tree.,
296,0,Eldin Canyon,11,Lift the Rock,"1964, 2040, 0423",,"At the western edge of Lake Ferona, a rock at the peak of the island can be lifted to find the Korok.",
297,0,Eldin Canyon,12+13,Reunite Friends,"1984, 2040, 0423",,"On the bridge at the Maw of Death Mountain, a Korok needs to be taken to the southwestern side of Lake Intenoch.",
298,0,Eldin Canyon,14+15,Reunite Friends,"2063, 2326, 0498",,"Overlooking Foothill stable, you can find a Korok that needs to be delivered to the friend to the south.",
299,0,Eldin Canyon,16,Sparkle Cloud,"1799, 2209, 0497",,You can find a dandelion under the archway. Trigger it and catch it before it hits the ground.,
300,1,Eldin Canyon,17,Block Puzzle,"1574, 2465, 0408",,"Overlooking the western side of Cephla Lake, you can find this block puzzle.",
301,0,Eldin Canyon,18,Sparkle Cloud,"1680, 2385, 0463",,You can spot this Korok running around the ruins to the southeast of Foothill Stable.,
302,0,Eldin Canyon,19,Sparkle Cloud,"1722, 2419, 0390",,"In Gero Pond to the Northwest of Lake Intenoch, you can find a cork that needs to be uncorked to reveal the Korok.",
303,1,Eldin Canyon,20,Sparkle Cloud,"3351, 3664, 0221",,In Western Cephla lake you can find a stump that will launch the Korok out into the water. Use the shallow path to get there in time.,
304,0,Eldin Canyon,21,Lift the Rock,"1603, 2824, 0466",,"In the North tip of Lake Intenoch, you can find a rock spiral on the island that needs to be completed.",
305,0,Eldin Canyon,22,Sparkle Cloud,"1573, 2951, 0398",,"In the skull base near Medingo Pool, you can find a sprout to chase around the skull until the Korok is revealed.",
306,0,Eldin Canyon,23,Sparkle Cloud,"1854, 0785, 0091",,There's a boulder downhill from the tree that you need to lift onto the tree.,
307,0,Eldin Canyon,24+25,Reunite Friends,"3227, 2114, 0118",,A Korok high up near Gorko lake needs to be delivered downhill to their friend,
308,0,Eldin Canyon,26,Sparkle Cloud,"1380, 2835, 0361",,A block puzzle can be found to the west of Bridge of Eldin.,
309,0,Eldin Canyon,27,Sparkle Cloud,"2776, 2520, 0653",,High above Goron Hot Springs you can find a stump that triggers a landing pad for you to glide onto.,
310,0,Eldin Canyon,28,Lift the Rock,"2638, 3468, 0362",,"At Goron City, inside the mouth of one of the large rock statues, you can find a balloon to pop.",
311,0,Eldin Canyon,29,Sparkle Cloud,"1768, 2237, 0413",,"Above Goron City, you can find the poppable balloon in the metal bridge that runs across over the city.",
312,0,Eldin Canyon,30,Sparkle Cloud,"2223, 3055, 0445",,"At the base of a waterfall in the eastern part of Goron City, dive into the ring of lily pads to find the Korok.",
313,0,Eldin Canyon,31+32,Reunite Friends,"1812, 2527, 0401",,"To the East of Gut Check Rock in the North, you can find a Korok that needs to be delivered West. Luckily there's debris and big wheels nearby to build a vehicle to take them there.",
314,0,Eldin Canyon,33,Lift the Rock,"2224, 2356, 0515",,High up on a rock to the East of Darunia Lake you can find a Korok.,
315,0,Eldin Canyon,34,Sparkle Cloud,"2711, 2389, 0623",,A poppable balloon can be found underneath a bridge to the Northeast of Darunia Lake.,
316,1,Eldin Canyon,35,Lift the Rock,"2313, 1132, 0209",,Can be found at the Purah Pad geoglpph underneath a rock.,
317,1,Eldin Canyon,36+37,Reunite Friends,"2290, 0943, 0111",,"Just north of South Akkala Stable, you can find a Korok that needs to be reunited up the hill north towards their friend.",
318,0,Eldin Canyon,38,Lift the Rock,"2232, 3680, 0232",,Complete the ring of rocks found at the center of Darunia Lake.,
319,0,Eldin Canyon,39,Sparkle Cloud,"3092, 3693, 0203",,A poppable balloon can be found underneath an arch high above to the eastern side of Death Mountain.,
320,0,Eldin Canyon,40,Lift the Rock,"2405, 3327, 0435",,"Atop Gut Check Rock, locate the rock that all the red arrow signs are pointing towards and find the Korok above it.",
321,0,Eldin Canyon,41,Sparkle Cloud,"2063, 2761, 0474",,Complete the block puzzle found just south of Goron City,
322,0,Eldin Canyon,42,Sparkle Cloud,"1724, 2556, 0499",,Break the acorn underneath a bridge found between the Lizard Lakes.,
323,0,Eldin Canyon,43,Sparkle Cloud,"2189, 2773, 0523",,"Just northeast of Goron City, offer a vase to the other statue.",
324,0,Eldin Canyon,44,Sparkle Cloud,"1729, 2604, 0431",,Chase the flower around the southwest area of Death Mountain.,
325,0,Eldin Canyon,45,Lift the Rock,"1814, 2640, 0400",,Can be found on a rock outcropping in the south side of Death Mountain.,
326,0,Eldin Canyon,46,Sparkle Cloud,"2196, 3006, 0507",,A ceiling stump to the Southeast of Lake Ferona needs to be ascended through to find this Korok.,
327,0,Eldin Canyon,47,Lift the Rock,"1477, 2231, 0325",,Complete the ring of rocks to find this Korok. Found South of Lake Ferona.,
328,0,Eldin Canyon,48,Sparkle Cloud,"2171, 3037, 0452",,"In the high north, complete the block puzzle.",
329,0,Eldin Canyon,49,Lift the Rock,"1433, 1952, 0355",,"To the Northeast of Gut Check Rock, climb the largest tree and pop the balloons.",
330,0,Eldin Canyon,50,Sparkle Cloud,"1249, 2290, 0322",,"Found just north of Sibajitak Shrine, ascend through the stump above you to find this Korok.",
331,0,Eldin Canyon,51,Sparkle Cloud,"1577, 0724, 0077",,Complete the block puzzle found just to the west of Death Mountain West Site.,
332,1,Eldin Canyon,52,Sparkle Cloud,"1333, 1315, 0167",,"Atop the fist of one of the statues in Goron city, you can find a stone to life where a Korok is hiding.",
333,0,Eldin Canyon,53+54,Reunite Friends,"0769, 1416, 0087",,"In the canyon nearby some rail tracks, you'll find a Korok (not pictured) that needs to be reunited with their friend up north.",
334,0,Eldin Canyon,55+56,Reunite Friends,"0939, 1553, 0150",,Deliver this Korok found north of Goron City to their friend to the north side of the canyon.,
335,0,Eldin Canyon,57+58,Reunite Friends,"0776, 1527, 0148",,"In the canyon, you can find a Korok that needs to be delivered uphill. Carry them to the base of the hill and a board should come sliding down. Attach the Korok to it, get on, and use recall to ride it to the top.",
336,0,Eldin Canyon,59,Lift the Rock,"0987, 1803, 0210",,"On the narrow strip of rock between the Lizard Lakes, you can find a stump. Trigger it and land on the opposite landing pad.",
337,0,Eldin Canyon,60,Sparkle Cloud,"2425, 0412, 0195",,Dive into this ring of lilies in the narrow lake West of Goron City.,
338,0,Eldin Canyon,61,Lift the Rock,"2565, 0467, 0184","2580, 0488, 0180","On a small rock peak between the Lizard Lakes, you'll find a dandelion. Hit it, and catch it before it hits the ground.",
339,0,Eldin Canyon,62,Sparkle Cloud,"2542, 0641, 0127","2641, 0633, 0177",Use ascend on the Zonai Ruin alongside the clifface and you'll find a ceiling-bound Korok stump in a tiny cave inside the wall to ascend through to get the seed.,
340,0,Eldin Canyon,63,Sparkle Cloud,"2556, 0764, 01174",,You'll need 2 stones to complete this formation to the west of Goron city.,
341,1,Eldin Canyon,64,Statue Offering,"3013, 0931, 0379",,"Atop a hill southeast of Trilby Plain, you can find a pair of statues. Give an apple to the one that doesn't have one.",
342,0,Eldin Canyon,65,Sparkle Cloud,"3074, 1138, 0281",,Shoot the acorn inside the tree North and above Pico Pond,
343,0,Eldin Canyon,66,Lift the Rock,"3160, 1426, 0256",,Found underneath a rock in the Military Training Camp swamp.,
344,0,Eldin Canyon,67,Sparkle Cloud,"2238, 0245, 0014","2201, 0159, 0034",Pop the balloon hidden in the rafters above the Military Training camp.,
345,0,Eldin Canyon,68,Sparkle Cloud,"2336, 0274, 0026",,Find a tower in the west part of the Military Training camp that has a Korok stump. Glide over to the other tower to the north and ascend to quickly catch the Korok in time.,
346,0,Eldin Canyon,69,Lift the Rock,"2307, 0132, 0104",,"In Minshi Woods, find a rock with a pinwheel next to it. When you climb it, 3 balloons will appear. Pop them all to find the Korok.",
347,0,,,,"2211, 0049, 0050",,,
348,0,Lanayru Great Spring,1,Sparkle Cloud,"2306, 0013, 0051",,Climb to the top of the lone tree on the small mountain southwest of the Upland Zorana Skyview Tower and examine the sparkling leaves.,
349,0,Lanayru Great Spring,2,Sparkle Cloud,"2460,-0040, 0079",,Stand on the stump and make your way to the goal before the timer runs out.,
350,0,Lanayru Great Spring,3+4,Reunite Friends,"2471, 0149, 0079",,Help the korok reach their friend on the slope of Upland Zorana near the Skyview Tower.,
351,0,Lanayru Great Spring,5,Lift the Rock,"2673, -0011, 0122",,Catch the sparkling leaves running through the rocks just off the road south of Foothill Stable.,
352,0,Lanayru Great Spring,6,Lift the Rock,"2781, 0198, 0079",,Lift the rock on the cliffside of Upland Zorana just south of the Akkala Span.,
353,0,Lanayru Great Spring,7,Sparkle Cloud,"2751, 0251, 0110","2745, 0201, 0137",Follow the three red arrows to one particular ruin just south of the Akkala Span. Stand atop it and examine the sparkling leaves.,
354,0,Lanayru Great Spring,8,Lift the Rock,"2807, 0183, 0146","2619, 0056, 0019",Burn away the leaves on the center pillar of a crumbled bridge near the South Akkala Plains Chasm and lift the rock hidden beneath.,
355,0,Lanayru Great Spring,9+10,Reunite Friends,"2940, 0206, 0205",,Help the Korok reach their friend on the other side of the Zora River just north of Maoikes Shrine.,
356,1,Lanayru Great Spring,11,Pinwheel Archery,"2851, -0028, 0080",,Shoot the 3 balloons that appear circling the Zora tower near the Inogo Bridge when standing near the pinwheel.,
357,0,Lanayru Great Spring,12,Sparkle Cloud,"2943, -0349, 0180","3011, -0371, 0193",Shoot the acorn in the ruined shack on the mountain above Maoikes Shrine.,
358,0,Lanayru Great Spring,13,Sparkle Cloud,"2951, -0080, 0315",,"Place the nearby blocks into the hole in the ground so that the resulting shape completes the pattern. Starting with one hole on the left, two in the middle, and three on the right, with the block make 4 holes by inserting it across the three blank spaces in the middle.",
359,0,Lanayru Great Spring,14,Lift the Rock,"2961, -0053, 0142",,Dive from the rock protruding over the small pond south of Maoikes Shrine into the ring of flowers.,
360,0,Lanayru Great Spring,15,Lift the Rock,"3275, -0012, 0276",,Complete the circle on the west side of Zodobon Highlands with the nearby rock.,
361,1,Lanayru Great Spring,16,Lift the Rock,"3191, 0224, 0150",,Lift the rock on the ruin protruding from the ground in the clearing near Inogo Bridge.,
362,0,Lanayru Great Spring,17,Sparkle Cloud,"3219, 0281, 0078",,Ascend through the marker in the ceiling of a small cave over a pond on the north side of the Zodobon Highlands. A log from a nearby tree can be used as a platform.,
363,0,Lanayru Great Spring,18,Pop the Cork,"3329, 0532, 0112",,Pull the cork out of the tree stump on the bank of the Zora River by submerging the opposite end underwater or attaching it to something such as a rocket.,
364,0,Lanayru Great Spring,19,Sparkle Cloud,"3322, 0515, 0305",,Follow the yellow flower as it disappears and reappears up the hill along the bank of the Zora River in the Tabahl Woods.,
365,0,Lanayru Great Spring,20+21,Reunite Friends,"3389, 0742, 0171",,Help the Korok reach their friend on the other side of the Zora River in Tabahl Woods. There are nearby Zonai Devices available to use to build a machine to make this process easier.,
366,0,Lanayru Great Spring,22,Sparkle Cloud,"3166, 0586, 0116",,Break the acorn hiding in the fallen tree stump at Realis Pond.,
